policy,min_propensity,q_gap_threshold,val_policy_value_dr,val_policy_value_ips,val_policy_value_plugin,val_override_rate,val_fallback_rate,val_low_support_rate,val_match_rate,val_eco_rate,test_policy_value_dr,test_policy_value_ips,test_policy_value_plugin,test_override_rate,test_fallback_rate,test_low_support_rate,test_match_rate,test_eco_rate,is_default,selected_for_main_paper
causal_fqi,0.1,0.0,-4.502831755626483,-4.601867273447102,-4.724418060128172,0.4656960373600714,0.015726941830918207,0.015726941830918207,0.5343039626399286,0.4759975276423323,-4.669745603519901,-4.692535685054912,-4.829076293976112,0.46774193548387094,0.01605890603085554,0.01605890603085554,0.532258064516129,0.4713884992987377,0,0
causal_fqi,0.1,0.25,-4.484084998031268,-4.326361260202047,-4.7259911103866,0.338506970675091,0.27415699471190164,0.015726941830918207,0.661493029324909,0.4894581416111531,-4.682483781050327,-4.416199600959478,-4.83133656578694,0.3467741935483871,0.26928471248246844,0.01605890603085554,0.6532258064516129,0.48141654978962134,0,0
causal_fqi,0.1,0.5,-4.5084880741794695,-4.233895339349105,-4.728394428543443,0.24641164755167913,0.47956871094018266,0.015726941830918207,0.7535883524483209,0.4952956527711009,-4.696573973380491,-4.311747809704051,-4.835407405802537,0.24992987377279102,0.47510518934081347,0.01605890603085554,0.7500701262272089,0.4862552594670407,0,0
causal_fqi,0.15,0.0,-4.499190721262161,-4.617751049029057,-4.729972141847066,0.4472220314538837,0.037497424627429436,0.037497424627429436,0.5527779685461164,0.49172446947325044,-4.683488719343847,-4.7274708576777735,-4.83635702367625,0.44495091164095374,0.04214586255259467,0.04214586255259467,0.5550490883590463,0.49095371669004206,0,0
causal_fqi,0.15,0.25,-4.483311282601847,-4.351672069771458,-4.731325478181392,0.3253210631137971,0.2902959961541103,0.037497424627429436,0.6746789368862028,0.5004463979122313,-4.697620454318138,-4.456100193001638,-4.838414447455916,0.32896213183730716,0.2893408134642356,0.04214586255259467,0.6710378681626928,0.49684431977559607,0,0
causal_fqi,0.15,0.5,-4.508437634487681,-4.258607364050902,-4.733440558607664,0.2354233912506009,0.49275461850147656,0.037497424627429436,0.764576608749399,0.5046356706270174,-4.71551673992482,-4.349930455253245,-4.841938639334992,0.23583450210378681,0.4908835904628331,0.04214586255259467,0.7641654978962131,0.49838709677419357,0,0
causal_no_history_fqi,0.05,0.0,-4.463968090363699,-4.532890236403077,-4.724601506195359,0.47276972735389056,0.003159123686559989,0.003159123686559989,0.5272302726461094,0.4803241535608818,-4.7122132163748605,-4.7276704405151015,-4.826997799793794,0.4761570827489481,0.0024544179523141654,0.0024544179523141654,0.5238429172510519,0.47194950911640954,0,0
causal_no_history_fqi,0.05,0.25,-4.501974398616592,-4.3365759133738,-4.725878573782143,0.3487397843554701,0.2628253554014147,0.003159123686559989,0.65126021564453,0.4951582995673374,-4.718803313879152,-4.449248813005306,-4.829189006512776,0.3506311360448808,0.26697054698457223,0.0024544179523141654,0.6493688639551192,0.48541374474053295,0,0
causal_no_history_fqi,0.05,0.5,-4.506636860294968,-4.223450152988114,-4.727510592038982,0.24895268182130348,0.4769590000686766,0.003159123686559989,0.7510473181786965,0.4956390357805096,-4.686701593289249,-4.286738200150216,-4.832476711415687,0.25112201963534364,0.4750350631136045,0.0024544179523141654,0.7488779803646564,0.48632538569424966,1,1
causal_no_history_fqi,0.1,0.0,-4.470877935579073,-4.554800399504562,-4.727350655556389,0.46047661561705927,0.01661973765538081,0.01661973765538081,0.5395233843829408,0.49261726529771305,-4.711902210061938,-4.7488547963007495,-4.8313505321429595,0.4620617110799439,0.0182328190743338,0.0182328190743338,0.5379382889200561,0.48604488078541375,0,0
causal_no_history_fqi,0.1,0.25,-4.508594252738955,-4.357084013141985,-4.728510168875063,0.33857564727697276,0.2738822883043747,0.01661973765538081,0.6614243527230272,0.5053224366458348,-4.717026029819567,-4.471224026191659,-4.833398394373313,0.33927068723702664,0.27952314165497893,0.0182328190743338,0.6607293127629733,0.4967741935483871,0,0
causal_no_history_fqi,0.1,0.5,-4.512212034714319,-4.241394052924706,-4.730026537746477,0.24091751940114003,0.48568092850765743,0.01661973765538081,0.75908248059886,0.503674198200673,-4.689186578435103,-4.310654445166092,-4.836480875071364,0.24193548387096775,0.48506311360448806,0.0182328190743338,0.7580645161290323,0.49551192145862555,0,0
causal_no_history_fqi,0.15,0.0,-4.476283511340116,-4.579383625720258,-4.732435320895585,0.4428267289334524,0.037497424627429436,0.037497424627429436,0.5571732710665477,0.50710802829476,-4.726536806186178,-4.784252939043329,-4.838278703623856,0.44067321178120616,0.04291725105189341,0.04291725105189341,0.5593267882187938,0.5043478260869565,0,0
causal_no_history_fqi,0.15,0.25,-4.512825604242409,-4.383782316576571,-4.733412472820412,0.3258017993269693,0.28919717052400246,0.037497424627429436,0.6741982006730307,0.516035986539386,-4.734055396875306,-4.511336910700209,-4.840138713038833,0.32314165497896213,0.29810659186535765,0.04291725105189341,0.6768583450210379,0.5110799438990182,0,0
causal_no_history_fqi,0.15,0.5,-4.516649654645318,-4.26527173341802,-4.73461247370741,0.231714854748987,0.49680653801249913,0.037497424627429436,0.768285145251013,0.5115033308151913,-4.710276492084097,-4.350265465913122,-4.842852481549833,0.22959326788218795,0.4990883590462833,0.04291725105189341,0.7704067321178121,0.5065918653576438,0,0
causal_no_vehicle_id_fqi,0.05,0.0,-4.462924331772757,-4.533994253392661,-4.722154605141895,0.4724950209463636,0.002747064075269556,0.002747064075269556,0.5275049790536365,0.47098413570496533,-4.651445275578812,-4.646990565527025,-4.828136265957409,0.47917251051893406,0.0016830294530154279,0.0016830294530154279,0.5208274894810659,0.4638849929873773,0,0
causal_no_vehicle_id_fqi,0.05,0.25,-4.4772536801979275,-4.305059388388958,-4.723858910492109,0.3407732985371884,0.2739509649062564,0.002747064075269556,0.6592267014628116,0.4866424009340018,-4.6621182719492795,-4.3878079491172475,-4.830163440166659,0.34775596072931275,0.2685133239831697,0.0016830294530154279,0.6522440392706872,0.4737026647966339,0,0
causal_no_vehicle_id_fqi,0.05,0.5,-4.488087224700933,-4.184774685951124,-4.726274058345139,0.2436645834764096,0.4841700432662592,0.002747064075269556,0.7563354165235904,0.48870269899045393,-4.670348275548825,-4.263002501600034,-4.833723390339196,0.2497194950911641,0.4800140252454418,0.0016830294530154279,0.7502805049088359,0.4829593267882188,1,1
causal_no_vehicle_id_fqi,0.1,0.0,-4.468295012551539,-4.555529408812048,-4.724942085212042,0.46047661561705927,0.016070324840326902,0.016070324840326902,0.5395233843829408,0.48300254103426965,-4.648618589723176,-4.6663997875634875,-4.8323164407410015,0.4664095371669004,0.016129032258064516,0.016129032258064516,0.5335904628330996,0.47650771388499297,0,0
