scope,segment,policy,reward_name,metric,point_estimate,ci_low,ci_high,bootstrap_reps,bootstrap_method
overall,,causal_no_vehicle_id_fqi,primary,estimated_crash,0.10623484406616883,0.10531544262143697,0.10713963363438495,500,cluster
overall,,causal_no_vehicle_id_fqi,primary,estimated_near_miss,0.5198267387545781,0.517220505686501,0.5224724504045458,500,cluster
overall,,causal_no_vehicle_id_fqi,primary,estimated_on_time,0.8181194416466115,0.8140044718053896,0.8219889033849652,500,cluster
overall,,minimal_fqi,primary,policy_value_plugin,-4.870075467039217,-4.931391917312619,-4.807718172347623,500,cluster
overall,,minimal_fqi,primary,policy_value_ips,-4.423082043165765,-4.563996814773085,-4.282192720762398,500,cluster
overall,,minimal_fqi,primary,policy_value_dr,-4.810388211039625,-5.012728113938479,-4.617620420639227,500,cluster
overall,,minimal_fqi,primary,estimated_lateness_min,2.0207099673354523,1.9624332108011797,2.0785079717597794,500,cluster
overall,,minimal_fqi,primary,estimated_co2_kg,3.7365360475282445,3.723244988548774,3.750091164925849,500,cluster
overall,,minimal_fqi,primary,estimated_crash,0.10623708271271594,0.10530548367071788,0.10714562201309885,500,cluster
overall,,minimal_fqi,primary,estimated_near_miss,0.5198437315354776,0.5171699432604981,0.522819296137556,500,cluster
overall,,minimal_fqi,primary,estimated_on_time,0.8173281748519308,0.8137674185166678,0.8211616954158513,500,cluster
