scope,segment,policy,reward_name,metric,point_estimate,ci_low,ci_high,bootstrap_reps
segment,rain_or_event,non_causal_fqi,primary,policy_value_dr,-5.12292704606567,-5.4267707570002655,-4.869632385226762,500
segment,rain_or_event,non_causal_fqi,primary,estimated_lateness_min,2.622726833338409,2.5233765464215177,2.7264074352413203,500
segment,rain_or_event,non_causal_fqi,primary,estimated_co2_kg,3.777684102499074,3.7636244057351576,3.7908770293386835,500
segment,rain_or_event,non_causal_fqi,primary,estimated_crash,0.11737070355655815,0.11630065719363444,0.11849090240762383,500
segment,rain_or_event,non_causal_fqi,primary,estimated_near_miss,0.539462814931989,0.5367564232179569,0.542037345546363,500
segment,rain_or_event,non_causal_fqi,primary,estimated_on_time,0.779851512265369,0.7740072414171444,0.7859582029856654,500
segment,tight_window,non_causal_fqi,primary,policy_value_plugin,-8.15715621740235,-8.341110346924784,-7.974488182274286,500
segment,tight_window,non_causal_fqi,primary,policy_value_ips,-7.395856326107169,-7.883870258457301,-6.982384198553404,500
segment,tight_window,non_causal_fqi,primary,policy_value_dr,-7.811031462479714,-8.31890868412371,-7.397338866753452,500
segment,tight_window,non_causal_fqi,primary,estimated_lateness_min,5.25587746551475,5.073985293106244,5.434885613076779,500
segment,tight_window,non_causal_fqi,primary,estimated_co2_kg,3.736489557524967,3.7197047637964222,3.7542129866025316,500
segment,tight_window,non_causal_fqi,primary,estimated_crash,0.10975341405400613,0.10821462546834083,0.11131376868136916,500
segment,tight_window,non_causal_fqi,primary,estimated_near_miss,0.5282233499212726,0.5244840535255252,0.5320064728670553,500
segment,tight_window,non_causal_fqi,primary,estimated_on_time,0.5376781008128658,0.5290224344382121,0.5464591165126677,500
segment,late_day,non_causal_fqi,primary,policy_value_plugin,-4.993916853924001,-5.12045315323648,-4.863037177140313,500
segment,late_day,non_causal_fqi,primary,policy_value_ips,-4.144218775964795,-4.384727275352443,-3.9063906737507925,500
segment,late_day,non_causal_fqi,primary,policy_value_dr,-4.523061142897704,-4.864087053116856,-4.199058574646926,500
segment,late_day,non_causal_fqi,primary,estimated_lateness_min,2.113433803947784,1.9860340321253391,2.237267495227303,500
segment,late_day,non_causal_fqi,primary,estimated_co2_kg,3.7414536495837707,3.7256262470643304,3.75715588170702,500
segment,late_day,non_causal_fqi,primary,estimated_crash,0.10829135117597785,0.10706328524895599,0.10977299655210394,500
segment,late_day,non_causal_fqi,primary,estimated_near_miss,0.5246394041498419,0.5212786234537113,0.527884310806688,500
segment,late_day,non_causal_fqi,primary,estimated_on_time,0.8131261255064206,0.8059719124834921,0.8199682282933146,500
overall,,causal_fqi,primary,policy_value_plugin,-4.831580129800899,-4.902320100919544,-4.765416964538763,500
overall,,causal_fqi,primary,policy_value_ips,-4.288815809850753,-4.4341016785919685,-4.158892969333227,500
overall,,causal_fqi,primary,policy_value_dr,-4.6940920810855244,-4.88560617494938,-4.529860285470859,500
overall,,causal_fqi,primary,estimated_lateness_min,1.982181055767413,1.9191952261213021,2.047587085463126,500
overall,,causal_fqi,primary,estimated_co2_kg,3.736839525028662,3.7286578941756607,3.7448858032261496,500
overall,,causal_fqi,primary,estimated_crash,0.10623617269842076,0.1055361391107553,0.10698767223208207,500
overall,,causal_fqi,primary,estimated_near_miss,0.5198347210217726,0.5178921735935994,0.5217793393497997,500
